callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[t],H2O[t],Soot[t],SOx[t],NOx[t],CO[t],HC[t]
ETD76T,58981.0,6485.1644076,39231.83740508339,123.97260620006249,48.25516000825275,0.0011769551221525022,0.04707820488610012,0.5513439398579406,0.08175664979082982,0.0071982258689230584
UAE5RQ,37167.0,3554.87721892,21733.008230109863,68.67630600714713,26.73160012303471,0.0006519902469032937,0.026079609876131716,0.3192555564433896,0.04762034580997662,0.004825794609746638
BAW89P,44714.0,4755.76459297,27012.805702824963,85.3604660209275,33.225751014474845,0.0008103841710847557,0.03241536684339035,0.3866300535618158,0.057542739374678624,0.005715885505328945
VIR20V,45160.0,4687.7952789,27471.51337137169,86.80998225353477,33.78996144678708,0.0008241454011411524,0.032965816045645926,0.39273949823375487,0.05802386945642497,0.005532569586446429
ETD140,57149.0,6148.64021246,36433.81224954873,115.13084670857549,44.813589066945205,0.0010930143674864768,0.043720574699458434,0.5115826102580244,0.07726451350237476,0.006955088376579714
AZA61CM,39742.0,3789.21261654,57710.249104135016,182.36438716906736,70.98360639808696,0.0017313074731240728,0.06925229892496311,0.9687652713102115,0.10927015654152958,0.0032600428721615807
ACA836,37408.0,3332.35767223,20636.157324108563,65.21025714418357,25.38247350865369,0.0006190847197232642,0.02476338878893043,0.2990157186028877,0.04377330550108527,0.004139544692846607
UAL938,38894.0,3473.33207937,22288.97783198495,70.4331699490726,27.41544273334149,0.0006686693349595496,0.026746773398381888,0.32690629011207467,0.04360221751953416,0.004015795660289099
BAW72A,47650.0,4839.67163915,28820.094399661738,91.0714983029308,35.44871611158422,0.0008646028319898476,0.034584113279594424,0.41283246476264074,0.05787299126197116,0.005343338264866851
TPA4047,44790.0,4132.77158867,64441.78697860119,203.63604685237632,79.26339798367928,0.0019332536093580324,0.0773301443743209,1.0673887057540263,0.1288069151046375,0.004171268526254468
UAL930,50171.0,4658.93916612,29246.637438621978,92.41937430604537,35.97336404950535,0.0008773991231586644,0.03509596492634643,0.40672508963297066,0.06204342065520096,0.005502688765839006
SWR39,52882.0,5154.89057212,31227.100223022177,98.6776367047509,38.40933327431726,0.0009368130066906747,0.03747252026762663,0.44297387786817705,0.06472424649225278,0.0058379343417404835
BAW38P,47294.0,4679.06291724,27017.478993126556,85.37523361827932,33.23149916154578,0.000810524369793794,0.03242097479175149,0.3969547365952373,0.0539882620803734,0.005253348295121159
