callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
ACA895,86399.0,3489.2785236,31187.185786604106,98551.50708566711,38360.23851752277,0.9356155735981112,37.424622943924426,406.76620061092734,67.85973553715182,5.420148508865273
DLH426,85189.0,3513.56159961,81772.91762964519,258402.41970967516,100580.6886844628,2.453187528889356,98.12750115557431,1288.9574381597995,188.57067079990637,7.406684917000761
SWR86,82241.0,3298.37758124,75955.62793120438,240019.78426260556,93425.42235538072,2.278668837936142,91.14675351744539,1211.3925327093339,170.98604003923418,6.6473086989448795
BAW295,86399.0,3487.47279907,30567.35080601243,96592.82854699828,37597.841491395026,0.9170205241803643,36.680820967214444,406.14086791172485,69.07225246198911,5.7278526036200805
BAW19V,86399.0,3678.92480058,30854.975371981982,97501.72217546201,37951.61970753799,0.9256492611594581,37.02597044637817,412.6449505560987,65.30017187111646,5.380151662515341
DLH402,86280.0,3443.69122455,29389.430492948803,92870.6003577187,36148.999506327156,0.8816829147884652,35.267316591538325,388.86840325307793,70.66155371528635,5.986591420030979
NRS7151,86399.0,3472.86692613,29988.08544861725,94762.35001763086,36885.3451017993,0.899642563458527,35.9857025383408,401.68508672755763,69.78872065202138,6.016943257608118
SWR8T,86399.0,3234.14597173,81965.75956284654,259011.80021859586,100817.88426230193,2.45897278688541,98.35891147541543,1284.525860528497,154.84391730098574,3.802143771175728
DAL19,86399.0,3165.1711139,80725.57933656829,255092.83070355642,99292.46258397991,2.4217673800970796,96.87069520388162,1262.3169846826204,154.42998088018842,3.8522567936357848
AFR344,83999.0,3022.57452006,26944.13432251436,85143.46445914588,33141.28521669242,0.8083240296754395,32.33296118701755,358.98443488660894,64.99579906586902,5.548927064615237
BAW281,86399.0,3313.65508549,28735.513132560518,90804.22149889001,35344.68115304896,0.8620653939768108,34.48261575907292,388.78511576659037,60.66716788497769,5.1193538646439585
AFR356,86399.0,3207.46894571,27760.999247154654,87724.75762100778,34146.02907399999,0.8328299774146305,33.31319909658526,373.08021149235645,60.6162913916148,5.109087355446091
EIN1GE,85403.0,2895.89566841,69823.81889637435,220643.267712541,85883.29724253934,2.094714566891225,83.7885826756498,1149.5862108441822,157.44232355969802,6.306983873426873
NRS7109,86399.0,3150.4909805,26526.526434664742,83823.82353354,32627.627514637228,0.7957957930399392,31.831831721597556,368.99104332032925,55.749194899954446,5.047252113303304
NAX1WA,86399.0,3170.18151501,26093.005140144516,82453.896242857,32094.396322377554,0.7827901542043337,31.311606168173505,358.25951490216806,54.55322112630797,4.707021503525022
AFR378,86399.0,2790.97645768,25266.23774759174,79841.31128238996,31077.472429538026,0.7579871324277496,30.319485297110045,343.55197927356295,52.57421797657179,4.402777361875876
DLH8P,86399.0,2755.00126913,25232.17237096806,79733.66469225872,31035.57201629021,0.7569651711290304,30.278606845161104,344.8935882030713,52.594397430315105,4.446619652237125
AFR334,86399.0,2764.29436682,25255.26756904533,79806.64551818217,31063.97910992566,0.7576580270713541,30.30632108285445,345.77408344955626,51.730860607080075,4.33637830084318
DLH4J,86399.0,2774.64041916,68264.84054938596,215716.89613605928,83965.75387574392,2.0479452164815837,81.91780865926299,1133.8109823316368,123.56304430535478,2.990915910814272
VIR41R,86399.0,2505.37803456,23743.66257567982,75029.97373914853,29204.704968085975,0.7123098772703935,28.492395090815805,334.92492817365456,47.82427533106779,4.210256955597659
EIN12C,86399.0,2266.39563689,61865.317181864746,195494.40229469285,76094.34013369434,1.855959515455957,74.23838061823817,1029.3538809926044,110.8577531175161,2.7646881551685003
BAW297,86399.0,2202.30486266,22874.69859504175,72284.04756033176,28135.8792719012,0.6862409578512566,27.44963831405015,320.5770065587918,46.13166058922853,3.974068980843205
AAL91,86399.0,2493.10732153,21834.348581906954,68996.54151882493,26856.24875574519,0.6550304574572043,26.20121829828812,317.11054343323894,44.308480514037,4.39971974832777
SWR18,86399.0,2158.45424443,57209.812838869555,180783.008570829,70368.0697918098,1.7162943851660803,68.65177540664386,937.5063806647572,101.80011578809098,2.474980418493898
CFGRS,86399.0,3456.07948347,21577.358541792823,68184.4529920652,26540.151006405027,0.6473207562537829,25.89283025015149,315.12700529429077,43.2788944445493,4.040710216797209
NAX19M,86399.0,2337.74289245,20515.880434748153,64830.182173804045,25234.532934740102,0.6154764130424419,24.619056521697882,292.55493254882106,41.70896299266087,3.8121495089489748
SWR52,86399.0,2144.76827768,53980.78606849984,170579.28397646008,66396.36686425508,1.6194235820549918,64.77694328219982,896.2500352252606,96.0959051762365,2.3877529828896424
NAX9V,86399.0,2050.50384707,19396.391577518116,61292.59738495729,23857.561640347223,0.5818917473255447,23.275669893021696,279.62683386504835,39.04196295923999,3.672218057519621
AFR008,86399.0,2007.6927115,19249.64466169806,60828.877130965426,23677.062933888425,0.5774893398509325,23.09957359403737,275.71006747985376,38.36842095371019,3.450006277679717
NAX7149,86399.0,1933.0360739,18841.085293718625,59537.82952815081,23174.534911273862,0.56523255881156,22.609302352462457,272.7559676968377,37.752643695483805,3.574032121059597
AFR348,86399.0,1813.71566477,18283.4509485857,57775.704997531284,22488.64466676053,0.54850352845757,21.940141138302724,261.4804289193398,35.2009479943946,3.04204889941358
